,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 15:31:52.456007,25.46,25.6,27.0,0,0,1960.0,-2.0
2024-10-30 15:31:53.490561,25.48,25.6,27.04,0,0,1960.0,-2.0
2024-10-30 15:32:03.404347,25.63,25.75,27.37,0,0,1960.0,-2.0
2024-10-30 15:32:13.449762,25.78,25.89,27.75,0,0,1960.0,-2.0
2024-10-30 15:32:23.381129,25.92,26.04,28.07,0,0,1960.0,-2.0
2024-10-30 15:32:33.435126,26.06,26.19,28.32,0,0,1960.0,-2.0
2024-10-30 15:32:43.451455,26.2,26.33,28.57,0,0,1960.0,-2.0
2024-10-30 15:32:54.433770,26.35,26.47,28.82,0,0,1960.0,-2.0
2024-10-30 15:33:04.368280,26.48,26.6,29.0,0,0,1960.0,-2.0
2024-10-30 15:33:14.508405,26.62,26.75,29.16,0,0,1960.0,-2.0
2024-10-30 15:33:24.407285,26.75,26.88,29.3,0,0,1960.0,-2.0
2024-10-30 15:33:35.479109,26.89,27.02,29.45,0,0,1960.0,-2.0
2024-10-30 15:33:45.392605,27.01,27.14,29.57,0,0,1960.0,-2.0
2024-10-30 15:33:55.457162,27.14,27.26,29.67,0,0,1960.0,-2.0
2024-10-30 15:34:05.488918,27.25,27.39,29.78,0,0,1960.0,-2.0
2024-10-30 15:34:15.447037,27.36,27.51,29.85,0,0,1960.0,-2.0
2024-10-30 15:34:25.433019,27.48,27.63,29.93,0,0,1960.0,-2.0
2024-10-30 15:34:35.507594,27.6,27.74,30.0,0,0,1960.0,-2.0
2024-10-30 15:34:46.481401,27.71,27.85,30.06,0,0,1960.0,-2.0
2024-10-30 15:34:56.469210,27.82,27.96,30.1,0,0,1960.0,-2.0
2024-10-30 15:35:06.394613,27.93,28.07,30.15,0,0,1960.0,-2.0
2024-10-30 15:35:16.452294,28.03,28.18,30.21,0,0,1960.0,-2.0
2024-10-30 15:35:26.484650,28.14,28.29,30.26,0,0,1960.0,-2.0
2024-10-30 15:35:36.406103,28.23,28.38,30.32,0,0,1960.0,-2.0
2024-10-30 15:35:47.471372,28.35,28.49,30.36,0,0,1960.0,-2.0
2024-10-30 15:35:57.366198,28.43,28.58,30.4,0,0,1960.0,-2.0
2024-10-30 15:36:07.423510,28.53,28.68,30.44,0,0,1960.0,-2.0
2024-10-30 15:36:17.450133,28.62,28.78,30.48,0,0,1960.0,-2.0
2024-10-30 15:36:27.422788,28.71,28.87,30.5,0,0,1960.0,-2.0
2024-10-30 15:36:37.407536,28.81,28.96,30.53,0,0,1960.0,-2.0
2024-10-30 15:36:47.471543,28.89,29.05,30.55,0,0,1960.0,-2.0
2024-10-30 15:36:58.463284,28.98,29.15,30.57,0,0,1960.0,-2.0
2024-10-30 15:37:08.469143,29.07,29.24,30.63,0,0,1960.0,-2.0
2024-10-30 15:37:18.388476,29.14,29.32,30.67,0,0,1960.0,-2.0
2024-10-30 15:37:28.433415,29.22,29.4,30.72,0,0,1960.0,-2.0
2024-10-30 15:37:38.377863,29.31,29.48,30.75,0,0,1960.0,-2.0
2024-10-30 15:37:48.662755,29.38,29.56,30.76,0,0,1960.0,-2.0
2024-10-30 15:37:59.481820,29.46,29.65,30.79,0,0,1960.0,-2.0
2024-10-30 15:38:09.424735,29.54,29.74,30.82,0,0,1960.0,-2.0
2024-10-30 15:38:19.392230,29.62,29.8,30.83,0,0,1960.0,-2.0
2024-10-30 15:38:29.495557,29.68,29.87,30.88,0,0,1960.0,-2.0
2024-10-30 15:38:39.395861,29.75,29.94,30.91,0,0,1960.0,-2.0
2024-10-30 15:38:49.454941,29.82,30.01,30.95,0,0,1960.0,-2.0
2024-10-30 15:38:59.402011,29.89,30.07,30.97,0,0,1960.0,-2.0
