,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 15:47:23.462949,31.99,32.23,31.68,0,0,1960.0,-2.0
2024-10-30 15:47:24.397443,32.0,32.23,31.68,0,0,1960.0,-2.0
2024-10-30 15:47:34.382560,32.02,32.25,31.69,0,0,1960.0,-2.0
2024-10-30 15:47:44.443538,32.05,32.28,31.71,0,0,1960.0,-2.0
2024-10-30 15:47:55.413496,32.07,32.31,31.71,0,0,1960.0,-2.0
2024-10-30 15:48:05.357591,32.1,32.33,31.71,0,0,1960.0,-2.0
2024-10-30 15:48:15.414371,32.12,32.36,31.73,0,0,1960.0,-2.0
2024-10-30 15:48:25.420490,32.14,32.38,31.73,0,0,1960.0,-2.0
2024-10-30 15:48:36.388785,32.17,32.4,31.75,0,0,1960.0,-2.0
2024-10-30 15:48:46.423804,32.19,32.43,31.77,0,0,1960.0,-2.0
2024-10-30 15:48:56.356299,32.22,32.45,31.75,0,0,1960.0,-2.0
2024-10-30 15:49:06.378432,32.25,32.47,31.75,0,0,1960.0,-2.0
2024-10-30 15:49:17.463203,32.25,32.49,31.77,0,0,1960.0,-2.0
2024-10-30 15:49:27.397905,32.27,32.5,31.76,0,0,1960.0,-2.0
2024-10-30 15:49:37.413469,32.28,32.52,31.76,0,0,1960.0,-2.0
2024-10-30 15:49:47.444160,32.31,32.54,31.77,0,0,1960.0,-2.0
2024-10-30 15:49:58.387231,32.33,32.57,31.78,0,0,1960.0,-2.0
2024-10-30 15:50:08.420953,32.35,32.59,31.78,0,0,1960.0,-2.0
2024-10-30 15:50:18.508410,32.36,32.6,31.8,0,0,1960.0,-2.0
2024-10-30 15:50:28.401279,32.38,32.63,31.8,0,0,1960.0,-2.0
2024-10-30 15:50:38.432709,32.41,32.64,31.82,0,0,1960.0,-2.0
2024-10-30 15:50:49.415772,32.44,32.66,31.82,0,0,1960.0,-2.0
2024-10-30 15:50:59.427019,32.45,32.68,31.84,0,0,1960.0,-2.0
2024-10-30 15:51:10.361199,32.47,32.71,31.85,0,0,1960.0,-2.0
2024-10-30 15:51:20.404608,32.48,32.73,31.86,0,0,1960.0,-2.0
2024-10-30 15:51:30.362941,32.5,32.75,31.85,0,0,1960.0,-2.0
2024-10-30 15:51:40.416520,32.52,32.76,31.85,0,0,1960.0,-2.0
2024-10-30 15:51:51.454523,32.54,32.78,31.86,0,0,1960.0,-2.0
2024-10-30 15:52:01.380082,32.56,32.8,31.89,0,0,1960.0,-2.0
2024-10-30 15:52:11.404516,32.57,32.82,31.91,0,0,1960.0,-2.0
2024-10-30 15:52:21.477446,32.59,32.84,31.92,0,0,1960.0,-2.0
2024-10-30 15:52:31.363661,32.6,32.85,31.92,0,0,1960.0,-2.0
2024-10-30 15:52:42.435884,32.63,32.87,31.92,0,0,1960.0,-2.0
2024-10-30 15:52:52.401406,32.64,32.89,31.94,0,0,1960.0,-2.0
2024-10-30 15:53:02.413400,32.65,32.9,31.92,0,0,1960.0,-2.0
2024-10-30 15:53:12.451295,32.67,32.92,31.92,0,0,1960.0,-2.0
2024-10-30 15:53:23.420554,32.69,32.93,31.91,0,0,1960.0,-2.0
2024-10-30 15:53:33.454071,32.7,32.94,31.9,0,0,1960.0,-2.0
2024-10-30 15:53:43.347614,32.71,32.96,31.91,0,0,1960.0,-2.0
2024-10-30 15:53:53.350694,32.71,32.95,31.94,0,0,1960.0,-2.0
2024-10-30 15:54:03.376031,32.73,32.96,31.95,0,0,1960.0,-2.0
2024-10-30 15:54:14.500322,32.75,32.97,31.95,0,0,1960.0,-2.0
2024-10-30 15:54:24.344197,32.76,33.0,31.95,0,0,1960.0,-2.0
2024-10-30 15:54:34.364459,32.78,33.01,31.93,0,0,1960.0,-2.0
2024-10-30 15:54:44.386730,32.78,33.03,31.95,0,0,1960.0,-2.0
2024-10-30 15:54:55.655982,32.79,33.04,31.96,0,0,1960.0,-2.0
2024-10-30 15:55:05.379838,32.8,33.06,31.98,0,0,1960.0,-2.0
2024-10-30 15:55:15.339047,32.81,33.06,32.0,0,0,1960.0,-2.0
2024-10-30 15:55:25.358084,32.83,33.07,31.99,0,0,1960.0,-2.0
2024-10-30 15:55:36.425502,32.84,33.08,32.0,0,0,1960.0,-2.0
2024-10-30 15:55:46.351684,32.85,33.09,32.01,0,0,1960.0,-2.0
2024-10-30 15:55:56.413091,32.86,33.1,32.01,0,0,1960.0,-2.0
2024-10-30 15:56:06.422987,32.87,33.11,32.02,0,0,1960.0,-2.0
2024-10-30 15:56:16.345195,32.89,33.12,32.01,0,0,1960.0,-2.0
2024-10-30 15:56:26.376999,32.9,33.14,32.01,0,0,1960.0,-2.0
2024-10-30 15:56:36.377672,32.91,33.15,32.0,0,0,1960.0,-2.0
2024-10-30 15:56:47.374197,32.92,33.16,31.99,0,0,1960.0,-2.0
2024-10-30 15:56:57.398299,32.92,33.17,32.0,0,0,1960.0,-2.0
2024-10-30 15:57:07.376013,32.94,33.18,32.01,0,0,1960.0,-2.0
2024-10-30 15:57:17.426795,32.96,33.19,32.0,0,0,1960.0,-2.0
2024-10-30 15:57:27.422579,32.96,33.21,31.98,0,0,1960.0,-2.0
2024-10-30 15:57:38.358752,32.96,33.21,31.96,0,0,1960.0,-2.0
2024-10-30 15:57:48.396632,32.97,33.22,31.98,0,0,1960.0,-2.0
2024-10-30 15:57:58.344167,32.98,33.23,32.0,0,0,1960.0,-2.0
2024-10-30 15:58:08.366464,32.99,33.24,32.03,0,0,1960.0,-2.0
2024-10-30 15:58:18.350509,33.0,33.24,32.04,0,0,1960.0,-2.0
2024-10-30 15:58:29.376113,33.0,33.26,32.03,0,0,1960.0,-2.0
2024-10-30 15:58:39.347531,33.02,33.26,32.03,0,0,1960.0,-2.0
2024-10-30 15:58:49.434572,33.03,33.26,32.02,0,0,1960.0,-2.0
2024-10-30 15:58:59.359481,33.03,33.27,32.03,0,0,1960.0,-2.0
